🎈 香港,#genre#
ViuTV,https://dispatch.ulivetv.net/v/live/ccnuwp0ol8zk.m3u8?stream_id=ccnuwp0ol8zk&timestamp=1686312626&rand=1QvR1usN8y&uuid=9b647b3816b2a66a&from=web&sign=4b46e32e2feb6d5965f87b3ee47f3dbe
Now财经,https://dispatch.ulivetv.net/v/live/cnnrkvw6g98g.m3u8?stream_id=cnnrkvw6g98g&timestamp=1686312672&rand=0zuS38Je8f&uuid=9b647b3816b2a66a&from=web&sign=a8081b1d965930e4425d8744f6d74c72
港台电视32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream1/streamPlaylist.m3u8
港台电视32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream2/streamPlaylist.m3u8
港台电视32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream5/streamPlaylist.m3u8
J1,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=153395&extension=ts&play_token=Pd3SDU2VSy
TVBRICS,http://brics.bonus-tv.ru/cdn/brics/chinese/tracks-v1a1/index.m3u8
測試002,http://sc2022.stream-link.org/tv2306.php?id=c02
J2,http://sc2022.stream-link.org/tv2306.php?id=h03
无线财经,http://sc2022.stream-link.org/tv2306.php?id=h05
港台电视32,http://sc2022.stream-link.org/tv2306.php?id=h09
HOY TV,http://sc2022.stream-link.org/tv2306.php?id=h13
HOY资讯,http://sc2022.stream-link.org/tv2306.php?id=h14
HOY资讯,http://sc2022.stream-link.org/tv2306.php?id=h15
凤凰香港,http://sc2022.stream-link.org/tv2306.php?id=h17


📺 台湾,#genre#
台视新闻,http://38.64.72.148/hls/modn/list/4013/chunklist0.m3u8
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
台视新闻,http://38.64.72.148/hls/modn/list/4013/chunklist1.m3u8
台视新闻,http://38.64.72.148/hls/modn/list/4013/playlist.m3u8
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
民视新闻,http://38.64.72.148/hls/modn/list/4012/chunklist1.m3u8
民视新闻,http://38.64.72.148/hls/modn/list/4012/chunklist0.m3u8
民视新闻,http://38.64.72.148/hls/modn/list/4012/playlist.m3u8
民视新闻,http://123.51.230.108:18663/.m3u8
TVBS新闻,http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8
TVBS新闻,http://38.64.72.148/hls/modn/list/4006/chunklist0.m3u8
TVBS新闻,http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8
TVBS新闻,http://38.64.72.148/hls/modn/list/4006/chunklist1.m3u8
TVBS新闻,http://38.64.72.148/hls/modn/list/4006/playlist.m3u8
TVBS新闻,http://line.gofast-tv.me:80/play/live.php?mac=00:1A:79:6F:5A:5D&stream=153397&extension=ts&play_token=mpwdCCQONG
TVBS新闻,rtmp://119.81.124.89/sat/tv551
TVBS新闻,rtmp://219.80.97.77/sat/tv551
东森新闻,http://61.221.81.93:8078/hls/33/80/ebcnews.m3u8
东森财经新闻,http://123.51.149.68:18515/0.m3u8
东森财经新闻,http://123.51.230.108:18515/1.m3u8
东森财经新闻,http://123.51.230.108:18515/.m3u8
东森财经新闻,rtmp://219.80.97.77/sat/tv571
东森新闻,http://sc2022.stream-link.org/tv2306.php?id=t01
东森财经新闻,http://sc2022.stream-link.org/tv2306.php?id=t02
华视新闻,http://sc2022.stream-link.org/tv2306.php?id=t04
华视新闻,http://pull-f5-spe.ixigua.com/live/pa_chong_bo_cts_new.flv
中视新闻,http://sc2022.stream-link.org/tv2306.php?id=t05
寰宇新闻,http://pull-f5-spe.ixigua.com/live/pa_chong_bo_global_new.flv
寰宇台灣新闻,http://sc2022.stream-link.org/tv2306.php?id=t08
三立財經新闻,http://sc2022.stream-link.org/tv2306.php?id=t09
三立新闻,http://sc2022.stream-link.org/tv2306.php?id=t10
三立新闻+,http://sc2022.stream-link.org/tv2306.php?id=t11
台视新闻,http://sc2022.stream-link.org/tv2306.php?id=t12
TVBS新闻,http://sc2022.stream-link.org/tv2306.php?id=t13
中天新闻2台,http://pull-f5-spe.ixigua.com/live/pa_chong_bo_cti2.flv
东森新闻,http://pull-f5-spe.ixigua.com/live/pa_chong_bo_ebc_news.flv
三立新闻,http://pull-f5-spe.ixigua.com/live/pa_chong_bo_set_live.flv
台视,rtmp://119.81.124.89/sat/tv071
中视,rtmp://119.81.124.89/sat/tv091
民视,rtmp://119.81.124.89/sat/tv051
华视,rtmp://119.81.124.89/sat/tv111
台视,rtmp://219.80.97.77/sat/tv071
中视,rtmp://219.80.97.77/sat/tv091
民视,rtmp://219.80.97.77/sat/tv051
华视,rtmp://219.80.97.77/sat/tv111
东森美洲,http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8
东森美洲,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=156397&extension=ts&play_token=2fQZ7EF20L
八大第一,http://123.51.230.108:18539/.m3u8
TVBS欢乐,rtmp://119.81.124.89/sat/tv421
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist0.m3u8
东森美洲,http://38.64.72.148/hls/modn/list/2016/chunklist0.m3u8
三立台湾,https://sanlihalive1-a.akamaihd.net/5ffd3a166f7241d9b489b7d7241db96f/ap-northeast-1/4338955585001/profile_0/chunklist.m3u8?hdnea=st=1664678506~exp=9007200919419497~acl=/5ffd3a166f7241d9b489b7d7241db96f/*/profile_0/chunklist.m3u8*~hmac=cfd432e7da8eece68fe4a4da3a3bc08ab1bbc50b147a84c95ae3d4a569e932b1
三立都会,https://sanlihalive1-a.akamaihd.net/4c3bb0ccad574d0e9b507c2dcd2dfabc/ap-northeast-1/4338955585001/profile_0/chunklist.m3u8?hdnea=st=1664678487~exp=9007200919419478~acl=/4c3bb0ccad574d0e9b507c2dcd2dfabc/*/profile_0/chunklist.m3u8*~hmac=1a3986bd8fb660eacbcc9954c67fb674fa810779ddc2fab5fa77188868ca3686
中天亚洲,http://sc2022.stream-link.org/tv2306.php?id=t15
民视,http://sc2022.stream-link.org/tv2306.php?id=t17
民视第一台,http://sc2022.stream-link.org/tv2306.php?id=t18
民視台湾台,http://sc2022.stream-link.org/tv2306.php?id=t19
民视綜藝台,http://sc2022.stream-link.org/tv2306.php?id=t20
民视旅遊台,http://sc2022.stream-link.org/tv2306.php?id=t22
